video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Giek094C_l4&pp=ygUMQ2xlYW4gRW5lcmd5,/@SmileandLearnEnglish,Smile and Learn - English,Renewable Energy Sources - Types of Energy for Kids,637K,3 years,"Educational video for children to learn what renewable energy source are, which are their main properties and what types of ...",2024-01-26 22:29:41.095918
/watch?v=aYBGSfzaa4c&pp=ygUMQ2xlYW4gRW5lcmd5,/@CNBC,CNBC,What Is Green Hydrogen And Will It Power The Future?,1.2M,3 years,"Hydrogen is a clean-burning molecule, meaning that it can help to decarbonize a range of sectors that have proved hard to clean ...",2024-01-26 22:29:41.097736
/watch?v=-De4RkPAOHM&pp=ygUMQ2xlYW4gRW5lcmd5,/@WMUR,WMUR-TV,Energy Secretary Granholm visits Nashua to discuss clean energy solutions,130,2 weeks,Secretary of Energy Jennifer Granholm was at Turn Cycle Solutions in Nashua for a discussion with New Hampshire's ...,2024-01-26 22:29:41.099063
/watch?v=gLvkWpnzba8&pp=ygUMQ2xlYW4gRW5lcmd5,/@BBCNews,BBC News,Can the world rely on renewable energy? | Future Earth | BBC News,135K,2 months,What are the challenges the world faces in the transition to renewable energy – and what are the possible solutions? The BBC's ...,2024-01-26 22:29:41.100884
/watch?v=cCE1i2tJQQY&pp=ygUMQ2xlYW4gRW5lcmd5,/@CleoAbram,Cleo Abram,"Fracking for Clean Energy (wait, what?)",548K,2 years,"Fracking made it possible to get and burn much, much more oil and natural gas. To do it, companies drill into rock deep beneath ...",2024-01-26 22:29:41.102730
/watch?v=-Q-QNnKUutM&pp=ygUMQ2xlYW4gRW5lcmd5,/@PBSNewsHour,PBS NewsHour,Texas goes green: How oil country became the renewable energy leader,45K,1 month,One of the big announcements at the UN climate conference this weekend in Dubai was a pledge by more than 110 countries to ...,2024-01-26 22:29:41.104611
/watch?v=ku1ht_ZAU-w&pp=ygUMQ2xlYW4gRW5lcmd5,/@TED,TED,Enough Red Tape – We Need To Say Yes to Clean Energy | Rich Powell | TED,28K,11 days,"Climate innovation leader Rich Powell dives into the bureaucracy, bottlenecks and not-in-my-backyard attitude preventing the US ...",2024-01-26 22:29:41.106079
/watch?v=nwW6lGn-Tk4&pp=ygUMQ2xlYW4gRW5lcmd5,/@CNBC,CNBC,How Waves Could Power A Clean Energy Future,402K,1 year,The ocean's waves are immensely powerful. Harnessing that energy for grid-scale electricity production would be a major boon to ...,2024-01-26 22:29:41.110455
/watch?v=50rVKrCTmxo&pp=ygUMQ2xlYW4gRW5lcmd5,/@MassCEC1,Massachusetts Clean Energy Center,Clean Energy Lives Here Advertisement,959K,9 months,Clean Energy Lives Here Advertisement.,2024-01-26 22:29:41.111679
/watch?v=XG4eLSlEHbc&pp=ygUMQ2xlYW4gRW5lcmd5,/@HBO,HBO,Happening: A Clean Energy Revolution (2017) | Official Trailer | HBO,28K,6 years,'Happening: A Clean Energy Revolution' follows filmmaker Jamie Redford on a colorful personal journey to discover the leading ...,2024-01-26 22:29:41.113022
